sample_id	tissue_type
SRS021960	G_DNA_Supragingival plaque
SRS021986	G_DNA_Buccal mucosa
SRS021954	G_DNA_Tongue dorsum
SRS012281	G_DNA_Buccal mucosa
SRS012285	G_DNA_Supragingival plaque
SRS012279	G_DNA_Tongue dorsum
SRS022077	G_DNA_Tongue dorsum
SRS022079	G_DNA_Buccal mucosa
SRS022083	G_DNA_Supragingival plaque
SRS011098	G_DNA_Supragingival plaque
SRS011090	G_DNA_Buccal mucosa
SRS011086	G_DNA_Tongue dorsum
SRS011115	G_DNA_Tongue dorsum
SRS011126	G_DNA_Supragingival plaque
SRS021477	G_DNA_Supragingival plaque
SRS021473	G_DNA_Buccal mucosa
SRS021496	G_DNA_Tongue dorsum
SRS022621	G_DNA_Tongue dorsum
SRS022625	G_DNA_Buccal mucosa
SRS011144	G_DNA_Buccal mucosa
SRS011140	G_DNA_Tongue dorsum
SRS011152	G_DNA_Supragingival plaque
SRS022602	G_DNA_Supragingival plaque
SRS011243	G_DNA_Tongue dorsum
SRS011247	G_DNA_Buccal mucosa
SRS011255	G_DNA_Supragingival plaque
SRS023534	G_DNA_Buccal mucosa
SRS023538	G_DNA_Supragingival plaque
SRS023557	G_DNA_Tongue dorsum
SRS075404	G_DNA_Tongue dorsum
SRS075406	G_DNA_Buccal mucosa
SRS075410	G_DNA_Supragingival plaque
SRS023841	G_DNA_Supragingival plaque
SRS023837	G_DNA_Buccal mucosa
SRS023835	G_DNA_Tongue dorsum
SRS024281	G_DNA_Buccal mucosa
SRS024289	G_DNA_Supragingival plaque
SRS011306	G_DNA_Tongue dorsum
SRS011310	G_DNA_Buccal mucosa
SRS011343	G_DNA_Supragingival plaque
SRS024277	G_DNA_Tongue dorsum
SRS023595	G_DNA_Supragingival plaque
SRS023591	G_DNA_Buccal mucosa
SRS023617	G_DNA_Tongue dorsum
SRS024138	G_DNA_Tongue dorsum
SRS013502	G_DNA_Tongue dorsum
SRS024140	G_DNA_Buccal mucosa
SRS024144	G_DNA_Supragingival plaque
SRS013506	G_DNA_Buccal mucosa
SRS017304	G_DNA_Supragingival plaque
SRS049147	G_DNA_Tongue dorsum
SRS078182	G_DNA_Tongue dorsum
SRS013533	G_DNA_Supragingival plaque
SRS024015	G_DNA_Tongue dorsum
SRS024017	G_DNA_Buccal mucosa
SRS024021	G_DNA_Supragingival plaque
SRS023930	G_DNA_Buccal mucosa
SRS013705	G_DNA_Tongue dorsum
SRS013723	G_DNA_Supragingival plaque
SRS013711	G_DNA_Buccal mucosa
SRS023926	G_DNA_Tongue dorsum
SRS023938	G_DNA_Supragingival plaque
SRS013170	G_DNA_Supragingival plaque
SRS023958	G_DNA_Tongue dorsum
SRS023987	G_DNA_Buccal mucosa
SRS013164	G_DNA_Tongue dorsum
SRS023964	G_DNA_Supragingival plaque
SRS055495	G_DNA_Tongue dorsum
SRS046686	G_DNA_Buccal mucosa
SRS017013	G_DNA_Buccal mucosa
SRS017025	G_DNA_Supragingival plaque
SRS054430	G_DNA_Supragingival plaque
SRS017007	G_DNA_Tongue dorsum
SRS063932	G_DNA_Tongue dorsum
SRS024087	G_DNA_Supragingival plaque
SRS064329	G_DNA_Supragingival plaque
SRS024081	G_DNA_Tongue dorsum
SRS017120	G_DNA_Tongue dorsum
SRS017127	G_DNA_Buccal mucosa
SRS017139	G_DNA_Supragingival plaque
SRS024355	G_DNA_Supragingival plaque
SRS024347	G_DNA_Buccal mucosa
SRS024318	G_DNA_Tongue dorsum
SRS013836	G_DNA_Supragingival plaque
SRS024470	G_DNA_Buccal mucosa
SRS024447	G_DNA_Supragingival plaque
SRS024441	G_DNA_Tongue dorsum
SRS013825	G_DNA_Buccal mucosa
SRS013818	G_DNA_Tongue dorsum
SRS013252	G_DNA_Supragingival plaque
SRS013234	G_DNA_Tongue dorsum
SRS024580	G_DNA_Tongue dorsum
SRS013239	G_DNA_Buccal mucosa
SRS024561	G_DNA_Supragingival plaque
SRS024557	G_DNA_Buccal mucosa
SRS017088	G_DNA_Supragingival plaque
SRS017080	G_DNA_Buccal mucosa
SRS017076	G_DNA_Tongue dorsum
SRS024649	G_DNA_Supragingival plaque
SRS024641	G_DNA_Buccal mucosa
SRS024637	G_DNA_Tongue dorsum
SRS016360	G_DNA_Supragingival plaque
SRS016349	G_DNA_Buccal mucosa
SRS016342	G_DNA_Tongue dorsum
SRS024375	G_DNA_Tongue dorsum
SRS024381	G_DNA_Supragingival plaque
SRS024377	G_DNA_Buccal mucosa
SRS077738	G_DNA_Buccal mucosa
SRS016501	G_DNA_Tongue dorsum
SRS016541	G_DNA_Supragingival plaque
SRS016533	G_DNA_Buccal mucosa
SRS056157	G_DNA_Buccal mucosa
SRS077736	G_DNA_Tongue dorsum
SRS016529	G_DNA_Tongue dorsum
SRS016503	G_DNA_Buccal mucosa
SRS017227	G_DNA_Supragingival plaque
SRS017215	G_DNA_Buccal mucosa
SRS047113	G_DNA_Supragingival plaque
SRS017209	G_DNA_Tongue dorsum
SRS050669	G_DNA_Tongue dorsum
SRS016600	G_DNA_Buccal mucosa
SRS016569	G_DNA_Tongue dorsum
SRS016575	G_DNA_Supragingival plaque
SRS018157	G_DNA_Supragingival plaque
SRS018149	G_DNA_Buccal mucosa
SRS057692	G_DNA_Tongue dorsum
SRS018145	G_DNA_Tongue dorsum
SRS047634	G_DNA_Supragingival plaque
SRS054569	G_DNA_Buccal mucosa
SRS018394	G_DNA_Supragingival plaque
SRS018357	G_DNA_Tongue dorsum
SRS018359	G_DNA_Buccal mucosa
SRS018439	G_DNA_Tongue dorsum
SRS018443	G_DNA_Buccal mucosa
SRS017445	G_DNA_Supragingival plaque
SRS017439	G_DNA_Tongue dorsum
SRS017441	G_DNA_Buccal mucosa
SRS018329	G_DNA_Buccal mucosa
SRS018300	G_DNA_Tongue dorsum
SRS018337	G_DNA_Supragingival plaque
SRS020222	G_DNA_Buccal mucosa
SRS020226	G_DNA_Supragingival plaque
SRS020220	G_DNA_Tongue dorsum
SRS016746	G_DNA_Supragingival plaque
SRS016740	G_DNA_Tongue dorsum
SRS017537	G_DNA_Buccal mucosa
SRS017511	G_DNA_Supragingival plaque
SRS017533	G_DNA_Tongue dorsum
SRS017687	G_DNA_Buccal mucosa
SRS017691	G_DNA_Supragingival plaque
SRS017713	G_DNA_Tongue dorsum
SRS017814	G_DNA_Supragingival plaque
SRS017808	G_DNA_Tongue dorsum
SRS017810	G_DNA_Buccal mucosa
SRS019974	G_DNA_Tongue dorsum
SRS019976	G_DNA_Buccal mucosa
SRS019980	G_DNA_Supragingival plaque
SRS020334	G_DNA_Tongue dorsum
SRS020336	G_DNA_Buccal mucosa
SRS020340	G_DNA_Supragingival plaque
SRS020856	G_DNA_Tongue dorsum
SRS020858	G_DNA_Buccal mucosa
SRS020862	G_DNA_Supragingival plaque
SRS023354	G_DNA_Buccal mucosa
SRS045715	G_DNA_Tongue dorsum
SRS023352	G_DNA_Tongue dorsum
SRS023358	G_DNA_Supragingival plaque
SRS057022	G_DNA_Buccal mucosa
SRS049318	G_DNA_Supragingival plaque
SRS052604	G_DNA_Supragingival plaque
SRS052227	G_DNA_Tongue dorsum
SRS050029	G_DNA_Buccal mucosa
SRS022725	G_DNA_Supragingival plaque
SRS022721	G_DNA_Buccal mucosa
SRS022719	G_DNA_Tongue dorsum
SRS053917	G_DNA_Supragingival plaque
SRS052668	G_DNA_Buccal mucosa
SRS044662	G_DNA_Tongue dorsum
SRS045049	G_DNA_Buccal mucosa
SRS042643	G_DNA_Tongue dorsum
SRS043755	G_DNA_Supragingival plaque
SRS053854	G_DNA_Tongue dorsum
SRS053630	SAMPLE
SRS058186	G_DNA_Buccal mucosa
SRS044373	G_DNA_Tongue dorsum
SRS044366	G_DNA_Supragingival plaque
SRS050007	G_DNA_Buccal mucosa
SRS058053	G_DNA_Supragingival plaque
SRS046623	G_DNA_Buccal mucosa
SRS045127	G_DNA_Tongue dorsum
SRS043646	G_DNA_Buccal mucosa
SRS055426	G_DNA_Tongue dorsum
SRS049268	G_DNA_Supragingival plaque
SRS022149	G_DNA_Supragingival plaque
SRS022145	G_DNA_Buccal mucosa
SRS022143	G_DNA_Tongue dorsum
SRS048791	G_DNA_Tongue dorsum
SRS051116	G_DNA_Buccal mucosa
SRS042984	G_DNA_Supragingival plaque
SRS043239	G_DNA_Buccal mucosa
SRS050244	G_DNA_Tongue dorsum
SRS055401	G_DNA_Supragingival plaque
SRS064219	G_DNA_Supragingival plaque
SRS045313	G_DNA_Supragingival plaque
SRS062761	G_DNA_Tongue dorsum
SRS042457	G_DNA_Buccal mucosa
SRS065133	G_DNA_Buccal mucosa
SRS043663	G_DNA_Tongue dorsum
SRS045262	G_DNA_Buccal mucosa
SRS054687	G_DNA_Tongue dorsum
SRS051941	G_DNA_Supragingival plaque
SRS055118	G_DNA_Buccal mucosa
SRS047824	G_DNA_Tongue dorsum
SRS052876	G_DNA_Supragingival plaque
SRS013881	G_DNA_Buccal mucosa
SRS015799	G_DNA_Buccal mucosa
SRS013879	G_DNA_Tongue dorsum
SRS015797	G_DNA_Tongue dorsum
SRS014107	G_DNA_Subgingival plaque
SRS015803	G_DNA_Supragingival plaque
SRS013950	G_DNA_Subgingival plaque
SRS013949	G_DNA_Supragingival plaque
SRS013948	G_DNA_Throat
SRS013947	G_DNA_Palatine Tonsils
SRS019125	SAMPLE
SRS013945	G_DNA_Buccal mucosa
SRS019120	G_DNA_Saliva
SRS019122	G_DNA_Tongue dorsum
SRS019124	G_DNA_Buccal mucosa
SRS019126	G_DNA_Palatine Tonsils
SRS013942	G_DNA_Saliva
SRS019127	G_DNA_Throat
SRS019128	G_DNA_Supragingival plaque
SRS019129	G_DNA_Subgingival plaque
SRS013946	SAMPLE
SRS064493	G_DNA_Supragingival plaque
SRS062544	G_DNA_Tongue dorsum
SRS063287	G_DNA_Buccal mucosa
SRS047219	G_DNA_Tongue dorsum
SRS014271	G_DNA_Tongue dorsum
SRS015059	G_DNA_Buccal mucosa
SRS015063	G_DNA_Supragingival plaque
SRS015062	G_DNA_Throat
SRS015057	G_DNA_Tongue dorsum
SRS014468	G_DNA_Saliva
SRS015061	G_DNA_Palatine Tonsils
SRS014477	G_DNA_Subgingival plaque
SRS014476	G_DNA_Supragingival plaque
SRS014475	G_DNA_Throat
SRS014474	G_DNA_Palatine Tonsils
SRS014473	SAMPLE
SRS014470	G_DNA_Tongue dorsum
SRS014472	G_DNA_Buccal mucosa
SRS015060	SAMPLE
SRS015055	G_DNA_Saliva
SRS047210	G_DNA_Tongue dorsum
SRS015154	G_DNA_Buccal mucosa
SRS015158	G_DNA_Supragingival plaque
SRS043018	G_DNA_Supragingival plaque
SRS045978	G_DNA_Buccal mucosa
SRS051378	G_DNA_Supragingival plaque
SRS014126	G_DNA_Buccal mucosa
SRS043676	G_DNA_Buccal mucosa
SRS042910	G_DNA_Tongue dorsum
SRS014124	G_DNA_Tongue dorsum
SRS063193	G_DNA_Tongue dorsum
SRS063478	G_DNA_Buccal mucosa
SRS063999	G_DNA_Supragingival plaque
SRS014578	G_DNA_Supragingival plaque
SRS014573	G_DNA_Tongue dorsum
SRS014575	G_DNA_Buccal mucosa
SRS014894	G_DNA_Supragingival plaque
SRS014888	G_DNA_Tongue dorsum
SRS014890	G_DNA_Buccal mucosa
SRS055378	G_DNA_Supragingival plaque
SRS057355	G_DNA_Tongue dorsum
SRS064423	G_DNA_Tongue dorsum
SRS015038	G_DNA_Tongue dorsum
SRS065278	G_DNA_Tongue dorsum
SRS015044	G_DNA_Supragingival plaque
SRS015040	G_DNA_Buccal mucosa
SRS063603	G_DNA_Supragingival plaque
SRS064809	G_DNA_Buccal mucosa
SRS019029	G_DNA_Subgingival plaque
SRS019027	G_DNA_Throat
SRS019026	G_DNA_Palatine Tonsils
SRS019025	SAMPLE
SRS019024	G_DNA_Buccal mucosa
SRS019022	G_DNA_Tongue dorsum
SRS014692	G_DNA_Saliva
SRS019028	G_DNA_Supragingival plaque
SRS019045	G_DNA_Tongue dorsum
SRS014690	G_DNA_Supragingival plaque
SRS014691	G_DNA_Subgingival plaque
SRS014686	G_DNA_Buccal mucosa
SRS014687	SAMPLE
SRS014689	G_DNA_Throat
SRS014684	G_DNA_Tongue dorsum
SRS015278	G_DNA_Supragingival plaque
SRS043772	G_DNA_Supragingival plaque
SRS015272	G_DNA_Tongue dorsum
SRS044486	G_DNA_Tongue dorsum
SRS015274	G_DNA_Buccal mucosa
SRS063215	G_DNA_Subgingival plaque
SRS065310	G_DNA_Supragingival plaque
SRS063351	G_DNA_Palatine Tonsils
SRS015374	G_DNA_Buccal mucosa
SRS015378	G_DNA_Supragingival plaque
SRS015395	G_DNA_Tongue dorsum
SRS062540	G_DNA_Tongue dorsum
SRS063272	G_DNA_Buccal mucosa
SRS064449	G_DNA_Supragingival plaque
SRS064774	G_DNA_Tongue dorsum
SRS015436	G_DNA_Buccal mucosa
SRS015434	G_DNA_Tongue dorsum
SRS015470	G_DNA_Supragingival plaque
SRS019071	G_DNA_Tongue dorsum
SRS019073	G_DNA_Buccal mucosa
SRS019077	G_DNA_Supragingival plaque
SRS015440	G_DNA_Supragingival plaque
SRS051930	G_DNA_Supragingival plaque
SRS056622	G_DNA_Tongue dorsum
SRS015215	G_DNA_Supragingival plaque
SRS015209	G_DNA_Tongue dorsum
SRS056892	G_DNA_Buccal mucosa
SRS015762	G_DNA_Tongue dorsum
SRS015755	G_DNA_Supragingival plaque
SRS054776	G_DNA_Buccal mucosa
SRS057205	G_DNA_Tongue dorsum
SRS053584	G_DNA_Supragingival plaque
SRS015745	G_DNA_Buccal mucosa
SRS015537	G_DNA_Tongue dorsum
SRS015574	G_DNA_Supragingival plaque
SRS018975	G_DNA_Supragingival plaque
SRS015895	G_DNA_Buccal mucosa
SRS015899	G_DNA_Supragingival plaque
SRS018969	G_DNA_Tongue dorsum
SRS015893	G_DNA_Tongue dorsum
SRS015921	G_DNA_Buccal mucosa
SRS018971	G_DNA_Buccal mucosa
SRS015947	G_DNA_Supragingival plaque
SRS015941	G_DNA_Tongue dorsum
SRS048411	G_DNA_Tongue dorsum
SRS055450	G_DNA_Supragingival plaque
SRS049283	G_DNA_Buccal mucosa
SRS015985	G_DNA_Buccal mucosa
SRS058336	G_DNA_Tongue dorsum
SRS016002	G_DNA_Tongue dorsum
SRS015989	G_DNA_Supragingival plaque
SRS058105	G_DNA_Buccal mucosa
SRS042131	G_DNA_Tongue dorsum
SRS015644	G_DNA_Tongue dorsum
SRS015646	G_DNA_Buccal mucosa
SRS015650	G_DNA_Supragingival plaque
SRS047265	G_DNA_Supragingival plaque
SRS016039	G_DNA_Buccal mucosa
SRS016037	G_DNA_Tongue dorsum
SRS016043	G_DNA_Supragingival plaque
SRS016086	G_DNA_Tongue dorsum
SRS016088	G_DNA_Buccal mucosa
SRS016092	G_DNA_Supragingival plaque
SRS016225	G_DNA_Tongue dorsum
SRS016200	G_DNA_Supragingival plaque
SRS016196	G_DNA_Buccal mucosa
SRS052874	G_DNA_Buccal mucosa
SRS053603	G_DNA_Tongue dorsum
SRS047100	G_DNA_Supragingival plaque
SRS019894	G_DNA_Tongue dorsum
SRS019906	G_DNA_Supragingival plaque
SRS019872	G_DNA_Buccal mucosa
SRS018661	G_DNA_Buccal mucosa
SRS018665	G_DNA_Supragingival plaque
SRS018739	G_DNA_Tongue dorsum
SRS019219	G_DNA_Tongue dorsum
SRS019221	G_DNA_Buccal mucosa
SRS019225	G_DNA_Supragingival plaque
SRS016319	G_DNA_Tongue dorsum
SRS016331	G_DNA_Supragingival plaque
SRS016297	G_DNA_Buccal mucosa
SRS018591	G_DNA_Tongue dorsum
SRS045197	G_DNA_Supragingival plaque
SRS018569	G_DNA_Buccal mucosa
SRS051791	G_DNA_Tongue dorsum
SRS043803	G_DNA_Buccal mucosa
SRS018573	G_DNA_Supragingival plaque
SRS018791	G_DNA_Tongue dorsum
SRS018778	G_DNA_Supragingival plaque
SRS019333	G_DNA_Supragingival plaque
SRS019327	G_DNA_Tongue dorsum
SRS019329	G_DNA_Buccal mucosa
SRS062878	G_DNA_Hard palate
SRS019387	G_DNA_Supragingival plaque
SRS065335	G_DNA_Throat
SRS019389	G_DNA_Tongue dorsum
SRS019391	G_DNA_Buccal mucosa
SRS019587	G_DNA_Buccal mucosa
SRS019607	G_DNA_Tongue dorsum
SRS019591	G_DNA_Supragingival plaque
SRS056323	G_DNA_Tongue dorsum
SRS054653	G_DNA_Supragingival plaque
SRS058808	G_DNA_Supragingival plaque
SRS049389	G_DNA_Tongue dorsum
SRS050628	G_DNA_Buccal mucosa
SRS022530	G_DNA_Tongue dorsum
SRS022532	G_DNA_Buccal mucosa
SRS065431	G_DNA_Buccal mucosa
SRS022536	G_DNA_Supragingival plaque
SRS063288	G_DNA_Tongue dorsum
SRS065099	G_DNA_Supragingival plaque
SRS048719	G_DNA_Buccal mucosa
SRS057791	G_DNA_Tongue dorsum
SRS045254	G_DNA_Buccal mucosa
SRS051244	G_DNA_Supragingival plaque
SRS057539	G_DNA_Tongue dorsum
